restaurant id,category id,item id,category,item,serving size (oz),calories,calories from fat,total fat (g),total fat (% daily value),saturated fat (g),saturated fat (% daily value),trans fat (g),cholesterol (mg),cholesterol (% daily value),sodium (mg),sodium (% daily value),carbohydrates (g),carbohydrates (% daily value),dietary fiber (g),dietary fiber (% daily value),sugars (g),protein (g),vitamin a (% daily value),vitamin c (% daily value),calcium (% daily value),iron (% daily value)
1000,108,247,beverages,chocolate shake (small),12.0,560,150.0,16.0,25.0,10.0,51.0,1.0,60.0,20.0,240.0,10.0,91,30.0,1,5.0,77.0,12.0,20.0,0.0,40.0,8.0
1000,108,248,beverages,chocolate shake (medium),16.0,700,180.0,20.0,30.0,12.0,62.0,1.0,75.0,24.0,300.0,13.0,114,38.0,2,6.0,97.0,15.0,25.0,0.0,50.0,10.0
1000,108,249,beverages,chocolate shake (large),22.0,850,210.0,23.0,36.0,15.0,74.0,1.0,85.0,29.0,380.0,16.0,141,47.0,2,8.0,120.0,19.0,30.0,0.0,60.0,15.0
1000,108,250,beverages,shamrock shake (medium),16.0,660,170.0,19.0,29.0,12.0,61.0,1.0,75.0,24.0,210.0,9.0,109,36.0,0,0.0,93.0,14.0,25.0,0.0,50.0,0.0
1000,108,251,beverages,shamrock shake (large),22.0,820,210.0,23.0,35.0,15.0,73.0,1.0,90.0,29.0,260.0,11.0,135,45.0,0,0.0,115.0,18.0,30.0,0.0,60.0,0.0
1000,108,252,beverages,mcflurry with m&m’s candies (small),10.9,650,210.0,23.0,35.0,14.0,72.0,0.5,50.0,17.0,180.0,7.0,96,32.0,1,6.0,89.0,13.0,15.0,0.0,45.0,8.0
1000,108,253,beverages,mcflurry with m&m’s candies (medium),16.2,930,290.0,33.0,50.0,20.0,102.0,1.0,75.0,25.0,260.0,11.0,139,46.0,2,7.0,128.0,20.0,25.0,0.0,70.0,10.0
1000,108,254,beverages,mcflurry with m&m’s candies (snack),7.3,430,140.0,15.0,24.0,10.0,48.0,0.0,35.0,11.0,120.0,5.0,64,21.0,1,4.0,59.0,9.0,10.0,0.0,30.0,4.0
1000,108,255,beverages,mcflurry with oreo cookies (small),10.1,510,150.0,17.0,26.0,9.0,44.0,0.5,45.0,14.0,280.0,12.0,80,27.0,1,4.0,64.0,12.0,15.0,0.0,40.0,8.0
1000,108,256,beverages,mcflurry with oreo cookies (medium),13.4,690,200.0,23.0,35.0,12.0,58.0,1.0,55.0,19.0,380.0,16.0,106,35.0,1,5.0,85.0,15.0,20.0,0.0,50.0,10.0
1000,108,257,beverages,mcflurry with oreo cookies (snack),6.7,340,100.0,11.0,17.0,6.0,29.0,0.0,30.0,9.0,190.0,8.0,53,18.0,1,2.0,43.0,8.0,10.0,0.0,25.0,6.0
1000,108,258,beverages,mcflurry with reese's peanut butter cups (medium),14.2,810,290.0,32.0,50.0,15.0,76.0,1.0,60.0,20.0,400.0,17.0,114,38.0,2,9.0,103.0,21.0,20.0,0.0,60.0,6.0
1000,108,259,beverages,mcflurry with reese's peanut butter cups (snack),7.1,410,150.0,16.0,25.0,8.0,38.0,0.0,30.0,10.0,200.0,8.0,57,19.0,1,5.0,51.0,10.0,10.0,0.0,30.0,4.0
2000,109,260,beef & pork sandwich/wraps,bbq rib sandwich,7.336992,580,nan,31.0,nan,10.0,nan,0.0,60.0,nan,1260.0,nan,54,nan,3,nan,18.0,21.0,8.0,4.0,4.0,20.0
2000,109,261,beef & pork sandwich/wraps,black forest ham sandwich,7.725006,260,nan,4.0,nan,1.5,nan,0.0,30.0,nan,720.0,nan,42,nan,5,nan,8.0,18.0,30.0,15.0,4.0,15.0
2000,109,262,poultry & fish sandwich/wraps,chicken & bacon ranch melt sandwich,10.017816,530,nan,26.0,nan,10.0,nan,0.5,100.0,nan,1100.0,nan,41,nan,3,nan,6.0,36.0,40.0,25.0,20.0,20.0
2000,109,263,poultry & fish sandwich/wraps,chicken mango curry sandwich,8.254116,330,nan,7.0,nan,1.5,nan,0.0,50.0,nan,840.0,nan,43,nan,3,nan,9.0,24.0,15.0,20.0,2.0,25.0
2000,109,264,poultry & fish sandwich/wraps,chicken tikka sandwich,7.23117,290,nan,5.0,nan,1.0,nan,0.0,50.0,nan,720.0,nan,39,nan,2,nan,6.0,23.0,10.0,10.0,0.0,25.0
2000,109,265,poultry & fish sandwich/wraps,chicken vindaloo sandwich,8.254116,340,nan,9.0,nan,1.0,nan,0.0,50.0,nan,880.0,nan,42,nan,3,nan,7.0,24.0,10.0,15.0,0.0,25.0
2000,109,266,poultry & fish sandwich/wraps,classic tuna sandwich,7.866102,450,nan,25.0,nan,4.5,nan,0.0,40.0,nan,610.0,nan,38,nan,2,nan,5.0,19.0,15.0,15.0,0.0,20.0
2000,109,267,beef & pork sandwich/wraps,cold cut combo sandwich,7.513362,320,nan,12.0,nan,3.5,nan,0.0,45.0,nan,1060.0,nan,40,nan,2,nan,5.0,16.0,15.0,15.0,6.0,20.0
2000,109,268,beef & pork sandwich/wraps,genoa salami sandwich,7.336992,430,nan,23.0,nan,8.0,nan,0.0,60.0,nan,1180.0,nan,40,nan,2,nan,5.0,18.0,15.0,25.0,4.0,20.0
2000,109,269,beef & pork sandwich/wraps,italian b.m.t. sandwich,7.513362,380,nan,17.0,nan,6.0,nan,0.0,50.0,nan,1100.0,nan,40,nan,3,nan,5.0,19.0,15.0,20.0,4.0,20.0
2000,109,270,beef & pork sandwich/wraps,meatball marinara sandwich,7.23117,420,nan,18.0,nan,7.0,nan,1.0,40.0,nan,1040.0,nan,47,nan,4,nan,7.0,19.0,10.0,10.0,6.0,20.0
2000,109,271,beef & pork sandwich/wraps,ham & jack slider sandwich,2.186988,150,nan,4.5,nan,2.0,nan,0.0,20.0,nan,470.0,nan,18,nan,1,nan,1.0,8.0,2.0,0.0,4.0,6.0
2000,109,272,beef & pork sandwich/wraps,italian spice slider sandwich,2.257536,230,nan,14.0,nan,5.0,nan,0.0,30.0,nan,690.0,nan,18,nan,1,nan,2.0,8.0,2.0,6.0,4.0,8.0
2000,109,273,beef & pork sandwich/wraps,little cheesesteak slider sandwich,2.257536,170,nan,7.0,nan,2.0,nan,0.0,15.0,nan,430.0,nan,19,nan,1,nan,2.0,7.0,2.0,4.0,2.0,6.0
2000,109,274,poultry & fish sandwich/wraps,little turkey slider sandwich,2.504454,200,nan,10.0,nan,2.5,nan,0.0,25.0,nan,490.0,nan,18,nan,1,nan,1.0,9.0,8.0,0.0,4.0,6.0
2000,109,275,poultry & fish sandwich/wraps,southwest chicken club sandwich,10.300008,550,nan,27.0,nan,9.0,nan,0.0,95.0,nan,1230.0,nan,43,nan,5,nan,7.0,34.0,25.0,25.0,20.0,20.0
2000,109,276,beef & pork sandwich/wraps,steak club sandwich,7.93665,490,nan,25.0,nan,7.0,nan,0.0,70.0,nan,1330.0,nan,40,nan,2,nan,6.0,27.0,15.0,10.0,6.0,20.0
2000,109,277,beef & pork sandwich/wraps,ultimate steak sandwich,7.619184,600,nan,35.0,nan,14.0,nan,1.0,80.0,nan,1330.0,nan,42,nan,3,nan,6.0,31.0,30.0,8.0,20.0,20.0
2000,109,278,poultry & fish sandwich/wraps,oven roasted chicken sandwich,8.218842,260,nan,3.5,nan,1.0,nan,0.0,45.0,nan,520.0,nan,40,nan,5,nan,7.0,23.0,30.0,20.0,4.0,15.0
2000,109,279,veggie sandwich/wraps,paneer tikka sandwich,9.241788,570,nan,30.0,nan,16.0,nan,0.5,70.0,nan,720.0,nan,48,nan,3,nan,7.0,29.0,25.0,20.0,4.0,40.0
2000,109,280,beef & pork sandwich/wraps,roast beef sandwich,8.218842,280,nan,4.5,nan,1.5,nan,0.0,45.0,nan,630.0,nan,40,nan,6,nan,7.0,25.0,30.0,15.0,2.0,20.0
2000,109,281,poultry & fish sandwich/wraps,rotisserie style chicken sandwich,8.712678,310,nan,6.0,nan,2.5,nan,0.0,55.0,nan,520.0,nan,40,nan,5,nan,7.0,28.0,30.0,15.0,2.0,15.0
2000,109,282,beef & pork sandwich/wraps,spicy italian sandwich,7.336992,450,nan,24.0,nan,9.0,nan,0.0,60.0,nan,1240.0,nan,40,nan,3,nan,5.0,18.0,15.0,25.0,4.0,20.0
2000,109,283,beef & pork sandwich/wraps,steak & cheese sandwich,5.679114,340,nan,10.0,nan,4.5,nan,0.0,50.0,nan,1060.0,nan,39,nan,2,nan,5.0,22.0,6.0,8.0,6.0,20.0
2000,109,284,poultry & fish sandwich/wraps,subway club sandwich,8.46576,280,nan,4.0,nan,1.0,nan,0.0,45.0,nan,780.0,nan,41,nan,5,nan,7.0,25.0,30.0,15.0,4.0,20.0
2000,109,285,poultry & fish sandwich/wraps,sweet onion chicken teriyaki sandwich,9.34761,320,nan,4.0,nan,1.0,nan,0.0,50.0,nan,720.0,nan,52,nan,5,nan,16.0,25.0,30.0,20.0,4.0,15.0
2000,109,286,poultry & fish sandwich/wraps,turkey & bacon guacamole sandwich,18.025014,780,nan,27.0,nan,6.0,nan,0.0,90.0,nan,2200.0,nan,87,nan,9,nan,11.0,49.0,30.0,45.0,10.0,35.0
2000,109,287,poultry & fish sandwich/wraps,turkey breast sandwich,7.725006,250,nan,3.0,nan,0.5,nan,0.0,30.0,nan,690.0,nan,41,nan,5,nan,6.0,20.0,30.0,15.0,4.0,15.0
2000,109,288,beef & pork sandwich/wraps,ultimate meatball marinara sandwich,9.559254,720,nan,45.0,nan,19.0,nan,1.5,80.0,nan,1520.0,nan,51,nan,6,nan,8.0,30.0,45.0,10.0,30.0,25.0
2000,109,289,beef & pork sandwich/wraps,ultimate spicy italian sandwich,6.70206,730,nan,52.0,nan,21.0,nan,1.0,105.0,nan,1720.0,nan,40,nan,3,nan,3.0,28.0,30.0,15.0,25.0,20.0
2000,109,290,veggie sandwich/wraps,veggie delite sandwich,5.714388,190,nan,2.0,nan,0.5,nan,0.0,0.0,nan,240.0,nan,39,nan,5,nan,6.0,9.0,30.0,15.0,2.0,15.0
2000,110,291,salads,bbq rib salad,13.897956,440,nan,30.0,nan,10.0,nan,0.0,60.0,nan,910.0,nan,28,nan,5,nan,20.0,17.0,70.0,40.0,8.0,15.0
2000,110,292,salads,black forest ham salad,12.134256,120,nan,3.0,nan,1.0,nan,0.0,30.0,nan,550.0,nan,12,nan,4,nan,6.0,13.0,70.0,35.0,6.0,10.0
2000,110,293,salads,chicken & bacon ranch salad,15.16782,460,nan,33.0,nan,11.0,nan,0.5,105.0,nan,1000.0,nan,13,nan,4,nan,7.0,32.0,80.0,45.0,20.0,15.0
2000,110,294,salads,cold cut combo salad,12.416447999999999,180,nan,11.0,nan,3.5,nan,0.0,45.0,nan,830.0,nan,12,nan,4,nan,5.0,12.0,70.0,35.0,8.0,15.0
2000,110,295,salads,italian b.m.t.  salad,12.416447999999999,240,nan,15.0,nan,6.0,nan,0.0,50.0,nan,870.0,nan,12,nan,4,nan,5.0,14.0,70.0,45.0,6.0,15.0
2000,110,296,salads,meatball marinara salad,15.061997999999999,290,nan,16.0,nan,6.0,nan,1.0,40.0,nan,780.0,nan,22,nan,7,nan,9.0,15.0,80.0,45.0,10.0,20.0
2000,110,297,salads,oven roasted chicken salad,12.663366,120,nan,2.5,nan,0.5,nan,0.0,45.0,nan,350.0,nan,10,nan,4,nan,5.0,17.0,70.0,35.0,6.0,8.0
2000,110,298,salads,roast beef salad,12.663366,140,nan,3.5,nan,1.0,nan,0.0,45.0,nan,460.0,nan,10,nan,4,nan,5.0,19.0,70.0,35.0,4.0,20.0
2000,110,299,salads,rotisserie style chicken salad,13.157202,170,nan,5.0,nan,2.0,nan,0.0,55.0,nan,360.0,nan,10,nan,4,nan,5.0,23.0,70.0,35.0,4.0,10.0
2000,110,300,salads,southwest chipotle chicken club salad,25.996938,780,nan,53.0,nan,15.0,nan,1.0,180.0,nan,1750.0,nan,25,nan,11,nan,11.0,54.0,80.0,70.0,30.0,20.0
2000,110,301,salads,spicy italian salad,12.240078,300,nan,23.0,nan,8.0,nan,0.0,60.0,nan,1000.0,nan,12,nan,4,nan,5.0,14.0,70.0,50.0,6.0,15.0
